카라, 161, 65
자마, 164, 55
다파, 162, 62
카파, 168, 61
타아, 184, 96
아가, 188, 50
나바, 181, 69
자다, 182, 63
타가, 172, 89
다마, 195, 65
사마, 167, 99
바자, 153, 61
가바, 196, 85
카하, 166, 58
타파, 168, 89
바타, 152, 52
파자, 171, 86
라하, 153, 90
파자, 153, 56
라하, 156, 90
타가, 155, 74
자나, 150, 87
카바, 188, 51
차마, 166, 72
바파, 150, 61
사라, 179, 96
다아, 167, 53
다파, 186, 50
라사, 198, 70
차가, 185, 98
나카, 187, 83
라가, 192, 70
차차, 172, 84
바다, 197, 53
가아, 156, 58
라라, 191, 96
자자, 159, 61
자차, 179, 55
나하, 158, 52
카마, 163, 98
아가, 178, 50
가바, 161, 68
가하, 192, 61
바파, 186, 75
차카, 184, 81
하마, 178, 89
파파, 181, 89
차카, 171, 55
사다, 165, 84
아하, 184, 67
자마, 167, 86
자나, 152, 55
사마, 152, 89
사아, 151, 89
다타, 173, 81
자가, 195, 79
카나, 161, 97
사다, 162, 71
아차, 190, 64
라다, 172, 77
나가, 151, 54
타다, 156, 63
다타, 159, 78
차파, 162, 53
파가, 182, 53
다나, 155, 51
다다, 191, 92
자하, 167, 87
하카, 156, 77
나하, 194, 65
차라, 169, 82
타카, 187, 99
카나, 162, 54
타카, 191, 83
라타, 184, 97
다하, 171, 90
라아, 173, 87
가사, 190, 84
자바, 160, 60
사라, 161, 84
라가, 160, 84
나아, 159, 75
아다, 174, 86
하하, 187, 55
마차, 176, 63
타마, 182, 94
사자, 173, 62
아다, 153, 81
사라, 195, 53
가가, 165, 98
바자, 175, 94
자라, 181, 74
파마, 176, 52
바사, 153, 76
하바, 195, 83
가다, 167, 98
마라, 174, 52
차가, 197, 71
차아, 157, 87
마다, 175, 70
다자, 177, 64
자라, 177, 50
나사, 172, 72
다하, 156, 73
가바, 197, 52
파다, 151, 69
바타, 189, 55
가타, 164, 76
자나, 181, 56
파하, 185, 71
타타, 176, 74
사가, 189, 85
자자, 170, 61
나자, 193, 67
라아, 198, 77
카마, 182, 73
차가, 197, 90
다가, 182, 66
아타, 178, 82
바카, 183, 99
사다, 150, 81
가카, 151, 50
하파, 150, 69
아하, 174, 60
사자, 165, 79
차바, 180, 59
타라, 179, 98
자사, 178, 52
카마, 172, 72
카아, 192, 99
가사, 152, 57
마파, 155, 87
다사, 152, 86
차아, 183, 71
사하, 159, 56
사마, 195, 53
파사, 187, 99
라하, 190, 50
마자, 177, 95
마사, 182, 75
파하, 199, 54
가다, 169, 61
바차, 177, 72
파가, 199, 55
나차, 171, 54
아차, 159, 60
자타, 175, 84
나아, 183, 98
다마, 191, 86
아라, 163, 91
다카, 162, 66
하다, 173, 96
마바, 191, 70
차다, 182, 65
라라, 164, 51
파하, 181, 67
카차, 165, 75
아아, 182, 87
카카, 154, 76
아아, 166, 78
다사, 163, 75
바차, 150, 95
마파, 150, 58
가가, 157, 72
마사, 183, 66
바타, 179, 85
하나, 168, 99
자자, 194, 89
차자, 197, 94
타다, 192, 96
아아, 151, 70
가가, 169, 68
파자, 161, 84
타다, 157, 64
하카, 188, 80
가라, 176, 86
바차, 155, 98
카마, 197, 70
마하, 150, 64
나타, 164, 59
나다, 185, 86
자사, 167, 61
라바, 176, 93
파바, 187, 83
라차, 158, 94
하차, 155, 59
마라, 152, 97
하자, 199, 97
자사, 185, 50
차라, 174, 96
차파, 168, 77
다다, 161, 54
나타, 183, 85
나마, 164, 94
아나, 184, 87
나아, 177, 99
다가, 186, 57
마파, 185, 77
파사, 191, 77
마파, 151, 90
자마, 178, 59
마나, 187, 71
가다, 190, 93
가파, 169, 54
파나, 185, 93
타바, 168, 83
나가, 195, 51
나자, 189, 67
나아, 174, 92
타나, 151, 51
사마, 153, 76
라사, 168, 58
나자, 151, 53
마차, 171, 85
바마, 150, 66
바타, 157, 54
파마, 161, 80
나아, 185, 96
가차, 158, 82
타마, 193, 60
파카, 160, 92
라아, 187, 88
다마, 159, 55
사마, 166, 74
파다, 158, 53
라하, 155, 62
사사, 172, 94
마나, 165, 51
차다, 197, 74
마파, 180, 77
자라, 155, 72
차자, 195, 62
타카, 154, 95
가다, 166, 89
차아, 151, 53
마라, 198, 79
라하, 166, 57
바하, 195, 81
나나, 152, 95
나나, 171, 93
파차, 191, 90
다라, 154, 73
라차, 171, 89
파파, 184, 56
가사, 195, 60
가차, 180, 99
사하, 188, 71
자사, 194, 77
바바, 175, 80
카다, 166, 98
라라, 180, 82
라하, 158, 84
파차, 173, 73
하사, 164, 57
카다, 190, 75
아타, 190, 77
파하, 156, 69
하다, 155, 62
마사, 175, 88
카바, 187, 63
하나, 168, 91
라아, 188, 62
가다, 191, 71
자나, 188, 53
마마, 152, 94
파사, 156, 68
파자, 150, 74
다카, 176, 56
나타, 191, 74
가가, 157, 65
아카, 182, 74
카타, 161, 83
바아, 183, 60
사차, 162, 97
자마, 164, 71
하바, 150, 62
사마, 161, 79
파자, 160, 62
카파, 181, 62
타바, 181, 96
아라, 196, 86
카카, 184, 93
차사, 198, 61
사아, 180, 77
사다, 185, 96
타차, 172, 95
아다, 163, 99
바파, 194, 76
자다, 196, 91
타자, 157, 91
하카, 181, 85
나가, 153, 92
나타, 161, 70
하카, 194, 59
차파, 154, 61
자타, 154, 83
마파, 172, 86
차나, 175, 95
마다, 185, 53
아다, 165, 53
사다, 169, 55
카다, 156, 76
카나, 160, 54
다아, 168, 86
가라, 175, 79
자사, 166, 81
라나, 188, 59
타하, 158, 97
바자, 186, 76
바가, 186, 84
바아, 156, 99
자아, 150, 77
하사, 184, 84
차사, 164, 97
나바, 160, 63
마자, 183, 59
사타, 187, 69
가나, 194, 66
라가, 177, 89
파파, 155, 82
차아, 166, 74
차차, 177, 93
하아, 184, 90
나바, 196, 87
다다, 174, 70
하라, 180, 91
차파, 186, 76
카파, 167, 55
바차, 191, 73
바다, 184, 63
하나, 167, 51
아라, 152, 61
파라, 158, 86
하카, 175, 55
사파, 174, 75
타카, 152, 53
하다, 197, 52
파차, 191, 63
아바, 150, 70
아사, 177, 99
아자, 176, 87
아마, 177, 87
하나, 186, 76
타파, 155, 99
하카, 161, 90
카카, 172, 94
파마, 190, 52
파아, 194, 84
자자, 196, 97
다차, 187, 94
바자, 154, 64
아사, 179, 80
카바, 166, 60
나타, 150, 53
가마, 162, 96
아파, 160, 98
차마, 192, 95
가바, 150, 97
자타, 171, 51
파자, 170, 54
라자, 175, 94
바가, 181, 76
바차, 162, 67
카파, 167, 70
바바, 187, 94
마자, 197, 73
차가, 151, 66
차타, 192, 56
카아, 177, 52
타바, 196, 97
하다, 185, 52
차마, 151, 88
아카, 168, 84
라차, 199, 53
사하, 160, 57
아라, 194, 91
바바, 187, 76
나라, 165, 88
파마, 152, 60
라차, 198, 88
파다, 166, 77
다바, 197, 94
하바, 199, 60
차아, 177, 57
다카, 153, 77
마바, 176, 77
사마, 170, 99
카차, 191, 50
카하, 192, 97
파하, 155, 67
타사, 179, 99
바가, 151, 85
라하, 154, 56
카카, 176, 67
차하, 184, 59
자가, 151, 76
자타, 196, 52
카마, 175, 94
타가, 150, 95
다차, 188, 59
차마, 181, 69
나마, 153, 59
마아, 181, 63
하아, 167, 54
자하, 170, 62
차하, 153, 89
사아, 194, 62
다다, 167, 53
라바, 178, 52
아파, 179, 53
가타, 197, 75
가아, 185, 64
나타, 161, 88
하사, 191, 78
가타, 156, 59
아자, 163, 76
타카, 167, 74
마카, 192, 81
가자, 195, 61
다나, 173, 92
마자, 158, 97
사하, 179, 67
파바, 196, 74
하라, 155, 94
바사, 166, 54
사아, 160, 88
파가, 167, 76
아카, 192, 54
바라, 158, 97
차차, 154, 57
라파, 157, 85
나타, 171, 65
하파, 170, 86
가아, 150, 92
마자, 172, 72
사가, 161, 90
타다, 157, 55
파아, 154, 50
다다, 177, 81
하차, 184, 88
마타, 174, 67
파다, 173, 64
하타, 156, 51
파바, 164, 72
파아, 188, 77
카차, 158, 55
나가, 179, 79
자가, 150, 99
사라, 179, 99
자파, 162, 91
나아, 161, 75
차사, 198, 90
다사, 179, 56
자나, 154, 87
차파, 159, 71
라다, 177, 88
바마, 196, 89
나자, 185, 91
카마, 192, 67
하아, 175, 56
파가, 157, 95
라라, 188, 88
라마, 199, 86
사사, 156, 96
카다, 155, 57
차다, 184, 53
가파, 182, 67
자사, 191, 67
하하, 180, 67
가다, 153, 50
타나, 193, 57
차차, 169, 55
다바, 195, 69
아파, 173, 95
카차, 157, 55
바자, 190, 90
파파, 172, 96
차타, 160, 67
차라, 152, 88
파마, 190, 99
가차, 156, 66
다바, 156, 96
카마, 179, 58
차타, 172, 98
타타, 157, 98
파타, 162, 86
바다, 192, 93
아아, 173, 71
다바, 161, 95
나마, 171, 56
사가, 197, 62
바바, 182, 87
자차, 178, 95
차가, 152, 88
파하, 178, 51
차파, 164, 57
마하, 165, 75
사아, 185, 88
바하, 199, 67
타다, 158, 78
